Geneid,targetID,
miR11108-Probable-3p-mature,MsG0180000352.01.T03,cds
miR11108-Probable-3p-mature,MsG0180000738.01.T01,cds
miR11108-Probable-3p-mature,MsG0180001178.01.T01,cds
miR11108-Probable-3p-mature,MsG0180003074.01.T01,cds
miR11108-Probable-3p-mature,MsG0180003075.01.T01,cds
miR11108-Probable-3p-mature,MsG0180003078.01.T01,cds
miR11108-Probable-3p-mature,MsG0280006571.01.T01,cds
miR11108-Probable-3p-mature,MsG0280010656.01.T01,cds
miR11108-Probable-3p-mature,MsG0280010859.01.T01,cds
miR11108-Probable-3p-mature,MsG0280011136.01.T01,cds
miR11108-Probable-3p-mature,MsG0380014205.01.T01,cds
miR11108-Probable-3p-mature,MsG0380014205.01.T02,cds
miR11108-Probable-3p-mature,MsG0380014207.01.T01,cds
miR11108-Probable-3p-mature,MsG0380014207.01.T02,cds
miR11108-Probable-3p-mature,MsG0380016555.01.T01,cds
miR11108-Probable-3p-mature,MsG0380017470.01.T01,cds
miR11108-Probable-3p-mature,MsG0380018049.01.T01,cds
miR11108-Probable-3p-mature,MsG0380018061.01.T01,cds
miR11108-Probable-3p-mature,MsG0480019031.01.T01,cds
miR11108-Probable-3p-mature,MsG0480019031.01.T02,cds
miR11108-Probable-3p-mature,MsG0480019031.01.T03,cds
miR11108-Probable-3p-mature,MsG0480019031.01.T04,cds
miR11108-Probable-3p-mature,MsG0480019031.01.T05,cds
miR11108-Probable-3p-mature,MsG0480020369.01.T01,cds
miR11108-Probable-3p-mature,MsG0480023851.01.T01,cds
miR11108-Probable-3p-mature,MsG0580024687.01.T01,cds
miR11108-Probable-3p-mature,MsG0580025034.01.T01,cds
miR11108-Probable-3p-mature,MsG0580026241.01.T01,cds
miR11108-Probable-3p-mature,MsG0580028462.01.T01,cds
miR11108-Probable-3p-mature,MsG0580029279.01.T01,cds
miR11108-Probable-3p-mature,MsG0680031485.01.T01,cds
miR11108-Probable-3p-mature,MsG0680033030.01.T01,cds
miR11108-Probable-3p-mature,MsG0780036015.01.T01,cds
miR11108-Probable-3p-mature,MsG0780036045.01.T01,cds
miR11108-Probable-3p-mature,MsG0780036583.01.T01,cds
miR11108-Probable-3p-mature,MsG0780038834.01.T01,cds
miR11108-Probable-3p-mature,MsG0880042173.01.T01,cds
miR11108-Probable-3p-mature,MsG0880043300.01.T01,cds
miR11108-Probable-3p-mature,MsG0880043899.01.T01,cds
miR11108-Probable-3p-mature,MsG0880043899.01.T02,cds
miR11108-Probable-3p-mature,MsG0880046083.01.T01,cds
miR11108-Probable-5p-star,MsG0180002596.01.T01,cds
miR11108-Probable-5p-star,MsG0180003336.01.T01,cds
miR11108-Probable-5p-star,MsG0180005023.01.T01,cds
miR11108-Probable-5p-star,MsG0180005512.01.T02,cds
miR11108-Probable-5p-star,MsG0180006053.01.T01,cds
miR11108-Probable-5p-star,MsG0280010465.01.T01,cds
miR11108-Probable-5p-star,MsG0280010630.01.T01,cds
miR11108-Probable-5p-star,MsG0280011020.01.T01,cds
miR11108-Probable-5p-star,MsG0380012019.01.T01,cds
miR11108-Probable-5p-star,MsG0380013883.01.T01,cds
miR11108-Probable-5p-star,MsG0380015836.01.T01,cds
miR11108-Probable-5p-star,MsG0380016740.01.T01,cds
miR11108-Probable-5p-star,MsG0480018708.01.T01,cds
miR11108-Probable-5p-star,MsG0480019694.01.T01,cds
miR11108-Probable-5p-star,MsG0480019759.01.T01,cds
miR11108-Probable-5p-star,MsG0480022912.01.T01,cds
miR11108-Probable-5p-star,MsG0580028728.01.T01,cds
miR11108-Probable-5p-star,MsG0580029906.01.T01,cds
miR11108-Probable-5p-star,MsG0680033322.01.T01,cds
miR11108-Probable-5p-star,MsG0780036648.01.T01,cds
miR11108-Probable-5p-star,MsG0780036737.01.T01,cds
miR11108-Probable-5p-star,MsG0880041923.01.T01,cds
miR11108-Probable-5p-star,MsG0880047444.01.T01,cds
miR11114a-Probable-3p-mature,MsG0080047813.01.T01,cds
miR11114a-Probable-3p-mature,MsG0080047813.01.T02,cds
miR11114a-Probable-3p-mature,MsG0080047813.01.T03,cds
miR11114a-Probable-3p-mature,MsG0080047813.01.T04,cds
miR11114a-Probable-3p-mature,MsG0080048243.01.T01,cds
miR11114a-Probable-3p-mature,MsG0180003264.01.T01,cds
miR11114a-Probable-3p-mature,MsG0180005580.01.T01,cds
miR11114a-Probable-3p-mature,MsG0280010134.01.T01,cds
miR11114a-Probable-3p-mature,MsG0380012096.01.T01,cds
miR11114a-Probable-3p-mature,MsG0480020913.01.T01,cds
miR11114a-Probable-3p-mature,MsG0580028069.01.T01,cds
miR11114a-Probable-3p-mature,MsG0580028951.01.T01,cds
miR11114a-Probable-3p-mature,MsG0880047048.01.T01,cds
miR11114a-Probable-3p-mature,MsG0880047048.01.T02,cds
miR11114a-Probable-3p-mature,MsG0880047358.01.T01,cds
miR11114a-Probable-5p-star,MsG0280008744.01.T01,cds
miR11114a-Probable-5p-star,MsG0680032912.01.T01,cds
miR11114a-Probable-5p-star,MsG0680035091.01.T01,cds
miR11114a-Probable-5p-star,MsG0680035091.01.T02,cds
miR11114a-Probable-5p-star,MsG0680035091.01.T03,cds
miR11114a-Probable-5p-star,MsG0680035275.01.T01,cds
miR11114a-Probable-5p-star,MsG0680035436.01.T01,cds
miR11114a-Probable-5p-star,MsG0780036444.01.T01,cds
miR11114a-Probable-5p-star,MsG0780040328.01.T01,cds
miR11114a-Probable-5p-star,MsG0780041129.01.T01,cds
miR11114b-Probable-3p-mature,MsG0080047813.01.T01,cds
miR11114b-Probable-3p-mature,MsG0080047813.01.T02,cds
miR11114b-Probable-3p-mature,MsG0080047813.01.T03,cds
miR11114b-Probable-3p-mature,MsG0080047813.01.T04,cds
miR11114b-Probable-3p-mature,MsG0080048243.01.T01,cds
miR11114b-Probable-3p-mature,MsG0180003264.01.T01,cds
miR11114b-Probable-3p-mature,MsG0180005580.01.T01,cds
miR11114b-Probable-3p-mature,MsG0280010134.01.T01,cds
miR11114b-Probable-3p-mature,MsG0380012096.01.T01,cds
miR11114b-Probable-3p-mature,MsG0480020913.01.T01,cds
miR11114b-Probable-3p-mature,MsG0580028069.01.T01,cds
miR11114b-Probable-3p-mature,MsG0580028951.01.T01,cds
miR11114b-Probable-3p-mature,MsG0880047048.01.T01,cds
miR11114b-Probable-3p-mature,MsG0880047048.01.T02,cds
miR11114b-Probable-3p-mature,MsG0880047358.01.T01,cds
miR11114b-Probable-5p-star,MsG0280008744.01.T01,cds
miR11114b-Probable-5p-star,MsG0680032912.01.T01,cds
miR11114b-Probable-5p-star,MsG0680035091.01.T01,cds
miR11114b-Probable-5p-star,MsG0680035091.01.T02,cds
miR11114b-Probable-5p-star,MsG0680035091.01.T03,cds
miR11114b-Probable-5p-star,MsG0680035275.01.T01,cds
miR11114b-Probable-5p-star,MsG0780036444.01.T01,cds
miR11114b-Probable-5p-star,MsG0780041129.01.T01,cds
miR11155a-Probable-3p-mature,MsG0180003191.01.T01,cds
miR11155a-Probable-3p-mature,MsG0380015805.01.T01,cds
miR11155a-Probable-3p-mature,MsG0380016381.01.T01,cds
miR11155a-Probable-3p-mature,MsG0380016691.01.T01,cds
miR11155a-Probable-3p-mature,MsG0380017151.01.T01,cds
miR11155a-Probable-3p-mature,MsG0380017653.01.T01,cds
miR11155a-Probable-3p-mature,MsG0480020293.01.T01,cds
miR11155a-Probable-3p-mature,MsG0480022394.01.T01,cds
miR11155a-Probable-3p-mature,MsG0480023795.01.T01,cds
miR11155a-Probable-3p-mature,MsG0580025042.01.T01,cds
miR11155a-Probable-3p-mature,MsG0580025235.01.T01,cds
miR11155a-Probable-3p-mature,MsG0580029672.01.T01,cds
miR11155a-Probable-3p-mature,MsG0580029970.01.T01,cds
miR11155a-Probable-3p-mature,MsG0580030086.01.T01,cds
miR11155a-Probable-3p-mature,MsG0780039257.01.T01,cds
miR11155a-Probable-3p-mature,MsG0880044897.01.T01,cds
miR11155a-Probable-3p-mature,MsG0880045190.01.T01,cds
miR11155a-Probable-3p-mature,MsG0880045190.01.T02,cds
miR11155a-Probable-3p-mature,MsG0880045558.01.T01,cds
miR11155a-Probable-3p-mature,MsG0880047429.01.T01,cds
miR11155a-Probable-5p-star,MsG0180000603.01.T01,cds
miR11155a-Probable-5p-star,MsG0180000902.01.T01,cds
miR11155a-Probable-5p-star,MsG0180003310.01.T01,cds
miR11155a-Probable-5p-star,MsG0180003392.01.T01,cds
miR11155a-Probable-5p-star,MsG0180005113.01.T01,cds
miR11155a-Probable-5p-star,MsG0280008018.01.T01,cds
miR11155a-Probable-5p-star,MsG0280008520.01.T01,cds
miR11155a-Probable-5p-star,MsG0280008521.01.T01,cds
miR11155a-Probable-5p-star,MsG0280008579.01.T01,cds
miR11155a-Probable-5p-star,MsG0280010711.01.T01,cds
miR11155a-Probable-5p-star,MsG0280010888.01.T02,cds
miR11155a-Probable-5p-star,MsG0380014180.01.T01,cds
miR11155a-Probable-5p-star,MsG0380014368.01.T01,cds
miR11155a-Probable-5p-star,MsG0380015142.01.T01,cds
miR11155a-Probable-5p-star,MsG0380015714.01.T01,cds
miR11155a-Probable-5p-star,MsG0380015825.01.T01,cds
miR11155a-Probable-5p-star,MsG0480020912.01.T01,cds
miR11155a-Probable-5p-star,MsG0480021473.01.T01,cds
miR11155a-Probable-5p-star,MsG0580024859.01.T01,cds
miR11155a-Probable-5p-star,MsG0580026451.01.T01,cds
miR11155a-Probable-5p-star,MsG0580029070.01.T01,cds
miR11155a-Probable-5p-star,MsG0580029234.01.T01,cds
miR11155a-Probable-5p-star,MsG0580029904.01.T01,cds
miR11155a-Probable-5p-star,MsG0680031562.01.T01,cds
miR11155a-Probable-5p-star,MsG0680033919.01.T01,cds
miR11155a-Probable-5p-star,MsG0680034631.01.T01,cds
miR11155a-Probable-5p-star,MsG0680035841.01.T01,cds
miR11155a-Probable-5p-star,MsG0780036588.01.T01,cds
miR11155a-Probable-5p-star,MsG0780037436.01.T01,cds
miR11155a-Probable-5p-star,MsG0780038402.01.T01,cds
miR11155a-Probable-5p-star,MsG0780038402.01.T02,cds
miR11155a-Probable-5p-star,MsG0780038402.01.T04,cds
miR11155a-Probable-5p-star,MsG0780038402.01.T05,cds
miR11155a-Probable-5p-star,MsG0780038402.01.T06,cds
miR11155a-Probable-5p-star,MsG0780040703.01.T01,cds
miR11155a-Probable-5p-star,MsG0880042586.01.T01,cds
miR11155a-Probable-5p-star,MsG0880047522.01.T01,cds
miR11155a-Probable-5p-star,MsG0880047717.01.T01,cds
miR11155b-Probable-3p-mature,MsG0180003191.01.T01,cds
miR11155b-Probable-3p-mature,MsG0380015805.01.T01,cds
miR11155b-Probable-3p-mature,MsG0380016381.01.T01,cds
miR11155b-Probable-3p-mature,MsG0380016691.01.T01,cds
miR11155b-Probable-3p-mature,MsG0380017151.01.T01,cds
miR11155b-Probable-3p-mature,MsG0380017653.01.T01,cds
miR11155b-Probable-3p-mature,MsG0480020293.01.T01,cds
miR11155b-Probable-3p-mature,MsG0480022394.01.T01,cds
miR11155b-Probable-3p-mature,MsG0480023795.01.T01,cds
miR11155b-Probable-3p-mature,MsG0580025042.01.T01,cds
miR11155b-Probable-3p-mature,MsG0580025235.01.T01,cds
miR11155b-Probable-3p-mature,MsG0580029672.01.T01,cds
miR11155b-Probable-3p-mature,MsG0580029970.01.T01,cds
miR11155b-Probable-3p-mature,MsG0580030086.01.T01,cds
miR11155b-Probable-3p-mature,MsG0780039257.01.T01,cds
miR11155b-Probable-3p-mature,MsG0780040034.01.T01,cds
miR11155b-Probable-3p-mature,MsG0880044897.01.T01,cds
miR11155b-Probable-3p-mature,MsG0880045190.01.T01,cds
miR11155b-Probable-3p-mature,MsG0880045190.01.T02,cds
miR11155b-Probable-3p-mature,MsG0880045215.01.T01,cds
miR11155b-Probable-3p-mature,MsG0880045558.01.T01,cds
miR11155b-Probable-3p-mature,MsG0880047429.01.T01,cds
miR11155b-Probable-5p-star,MsG0080049112.01.T01,cds
miR11155b-Probable-5p-star,MsG0180000536.01.T01,cds
miR11155b-Probable-5p-star,MsG0180000536.01.T02,cds
miR11155b-Probable-5p-star,MsG0180000536.01.T03,cds
miR11155b-Probable-5p-star,MsG0180000536.01.T04,cds
miR11155b-Probable-5p-star,MsG0280010935.01.T01,cds
miR11155b-Probable-5p-star,MsG0380014683.01.T01,cds
miR11155b-Probable-5p-star,MsG0380015732.01.T01,cds
miR11155b-Probable-5p-star,MsG0480018236.01.T01,cds
miR11155b-Probable-5p-star,MsG0480022120.01.T01,cds
miR11155b-Probable-5p-star,MsG0580025218.01.T01,cds
miR11155b-Probable-5p-star,MsG0580025575.01.T01,cds
miR11155b-Probable-5p-star,MsG0580027809.01.T01,cds
miR11155b-Probable-5p-star,MsG0580028669.01.T01,cds
miR11155b-Probable-5p-star,MsG0580028759.01.T01,cds
miR11155b-Probable-5p-star,MsG0680035288.01.T01,cds
miR11155b-Probable-5p-star,MsG0680035292.01.T01,cds
miR11155b-Probable-5p-star,MsG0680035829.01.T01,cds
miR11155b-Probable-5p-star,MsG0680035829.01.T02,cds
miR11155b-Probable-5p-star,MsG0680035829.01.T03,cds
miR11155b-Probable-5p-star,MsG0780039660.01.T01,cds
miR11155b-Probable-5p-star,MsG0880044291.01.T01,cds
miR11155b-Probable-5p-star,MsG0880047524.01.T01,cds
miR1128-Probable-3p-mature,MsG0280008414.01.T01,cds
miR1128-Probable-3p-mature,MsG0380016681.01.T01,cds
miR1128-Probable-3p-mature,MsG0480020775.01.T01,cds
miR1128-Probable-3p-mature,MsG0580024679.01.T01,cds
miR1128-Probable-3p-mature,MsG0780038398.01.T01,cds
miR1128-Probable-5p-star,MsG0080048241.01.T01,cds
miR1128-Probable-5p-star,MsG0180000245.01.T01,cds
miR1128-Probable-5p-star,MsG0180002902.01.T01,cds
miR1128-Probable-5p-star,MsG0180005435.01.T01,cds
miR1128-Probable-5p-star,MsG0180005435.01.T02,cds
miR1128-Probable-5p-star,MsG0180005435.01.T03,cds
miR1128-Probable-5p-star,MsG0380012611.01.T01,cds
miR1128-Probable-5p-star,MsG0380015634.01.T01,cds
miR1128-Probable-5p-star,MsG0380017933.01.T02,cds
miR1128-Probable-5p-star,MsG0480018641.01.T01,cds
miR1128-Probable-5p-star,MsG0480018986.01.T01,cds
miR1128-Probable-5p-star,MsG0580024591.01.T01,cds
miR1128-Probable-5p-star,MsG0580026896.01.T01,cds
miR1128-Probable-5p-star,MsG0580029878.01.T02,cds
miR1128-Probable-5p-star,MsG0580029885.01.T01,cds
miR1128-Probable-5p-star,MsG0680032910.01.T01,cds
miR1128-Probable-5p-star,MsG0780036936.01.T01,cds
miR1128-Probable-5p-star,MsG0880042151.01.T01,cds
miR1128-Probable-5p-star,MsG0880042151.01.T02,cds
miR1128-Probable-5p-star,MsG0880042387.01.T01,cds
miR1128-Probable-5p-star,MsG0880042595.01.T01,cds
miR1128-Probable-5p-star,MsG0880044997.01.T01,cds
miR1128-Probable-5p-star,MsG0880045627.01.T01,cds
miR1128-Probable-5p-star,MsG0880046274.01.T01,cds
miR1128-Probable-5p-star,MsG0880047153.01.T01,cds
miR1128-Probable-5p-star,MsG0880047153.01.T02,cds
miR12111-Probable-3p-star,MsG0180006057.01.T01,cds
miR12111-Probable-3p-star,MsG0380012667.01.T01,cds
miR12111-Probable-3p-star,MsG0380014775.01.T01,cds
miR12111-Probable-3p-star,MsG0380017332.01.T01,cds
miR12111-Probable-3p-star,MsG0580028903.01.T01,cds
miR12111-Probable-3p-star,MsG0580029430.01.T01,cds
miR12111-Probable-3p-star,MsG0580029681.01.T01,cds
miR12111-Probable-3p-star,MsG0680035706.01.T01,cds
miR12111-Probable-3p-star,MsG0880044672.01.T01,cds
miR12111-Probable-3p-star,MsG0880047407.01.T01,cds
miR12111-Probable-5p-mature,MsG0280007670.01.T01,cds
miR1507a-Known-3p-mature,MsG0180003641.01.T01,cds
miR1507a-Known-3p-mature,MsG0180005138.01.T01,cds
miR1507a-Known-3p-mature,MsG0380013427.01.T01,cds
miR1507a-Known-3p-mature,MsG0380015442.01.T01,cds
miR1507a-Known-3p-mature,MsG0480022574.01.T01,cds
miR1507a-Known-3p-mature,MsG0480023839.01.T01,cds
miR1507a-Known-3p-mature,MsG0480023929.01.T01,cds
miR1507a-Known-3p-mature,MsG0580025433.01.T01,cds
miR1507a-Known-3p-mature,MsG0680030815.01.T01,cds
miR1507a-Known-3p-mature,MsG0680032673.01.T09,cds
miR1507a-Known-3p-mature,MsG0680033951.01.T01,cds
miR1507a-Known-3p-mature,MsG0780040449.01.T01,cds
miR1507a-Known-3p-mature,MsG0880043687.01.T01,cds
miR1507a-Known-3p-mature,MsG0880044093.01.T01,cds
miR1507a-Known-5p-star,MsG0080048030.01.T01,cds
miR1507a-Known-5p-star,MsG0180002484.01.T01,cds
miR1507a-Known-5p-star,MsG0180002484.01.T02,cds
miR1507a-Known-5p-star,MsG0180002484.01.T03,cds
miR1507a-Known-5p-star,MsG0180002484.01.T04,cds
miR1507a-Known-5p-star,MsG0280010796.01.T01,cds
miR1507a-Known-5p-star,MsG0480021631.01.T01,cds
miR1507a-Known-5p-star,MsG0480023765.01.T01,cds
miR1507a-Known-5p-star,MsG0580024144.01.T01,cds
miR1507a-Known-5p-star,MsG0580024406.01.T01,cds
miR1507a-Known-5p-star,MsG0780040718.01.T01,cds
miR1507b-Known-3p-mature,MsG0180003641.01.T01,cds
miR1507b-Known-3p-mature,MsG0180005138.01.T01,cds
miR1507b-Known-3p-mature,MsG0380013427.01.T01,cds
miR1507b-Known-3p-mature,MsG0380015442.01.T01,cds
miR1507b-Known-3p-mature,MsG0480022574.01.T01,cds
miR1507b-Known-3p-mature,MsG0480023839.01.T01,cds
miR1507b-Known-3p-mature,MsG0480023929.01.T01,cds
miR1507b-Known-3p-mature,MsG0580025433.01.T01,cds
miR1507b-Known-3p-mature,MsG0680030815.01.T01,cds
miR1507b-Known-3p-mature,MsG0680032673.01.T09,cds
miR1507b-Known-3p-mature,MsG0680033951.01.T01,cds
miR1507b-Known-3p-mature,MsG0780040449.01.T01,cds
miR1507b-Known-3p-mature,MsG0880043687.01.T01,cds
miR1507b-Known-3p-mature,MsG0880044093.01.T01,cds
miR1507b-Known-5p-star,MsG0080048030.01.T01,cds
miR1507b-Known-5p-star,MsG0180002484.01.T01,cds
miR1507b-Known-5p-star,MsG0180002484.01.T02,cds
miR1507b-Known-5p-star,MsG0180002484.01.T03,cds
miR1507b-Known-5p-star,MsG0180002484.01.T04,cds
miR1507b-Known-5p-star,MsG0280010796.01.T01,cds
miR1507b-Known-5p-star,MsG0480021631.01.T01,cds
miR1507b-Known-5p-star,MsG0480023765.01.T01,cds
miR1507b-Known-5p-star,MsG0580024144.01.T01,cds
miR1507b-Known-5p-star,MsG0580024406.01.T01,cds
miR1507b-Known-5p-star,MsG0780040718.01.T01,cds
miR1507c-Known-3p-mature,MsG0280008012.01.T01,cds
miR1507c-Known-3p-mature,MsG0380013015.01.T01,cds
miR1507c-Known-3p-mature,MsG0380013017.01.T01,cds
miR1507c-Known-3p-mature,MsG0380013282.01.T01,cds
miR1507c-Known-3p-mature,MsG0380014664.01.T01,cds
miR1507c-Known-3p-mature,MsG0380015008.01.T01,cds
miR1507c-Known-3p-mature,MsG0380015161.01.T01,cds
miR1507c-Known-3p-mature,MsG0380015803.01.T01,cds
miR1507c-Known-3p-mature,MsG0380015890.01.T01,cds
miR1507c-Known-3p-mature,MsG0380015962.01.T01,cds
miR1507c-Known-3p-mature,MsG0380016675.01.T01,cds
miR1507c-Known-3p-mature,MsG0380016872.01.T01,cds
miR1507c-Known-3p-mature,MsG0380017331.01.T01,cds
miR1507c-Known-3p-mature,MsG0380017711.01.T01,cds
miR1507c-Known-3p-mature,MsG0480019197.01.T04,cds
miR1507c-Known-3p-mature,MsG0480022599.01.T01,cds
miR1507c-Known-3p-mature,MsG0480022599.01.T02,cds
miR1507c-Known-3p-mature,MsG0480023481.01.T01,cds
miR1507c-Known-3p-mature,MsG0580027604.01.T01,cds
miR1507c-Known-3p-mature,MsG0680034745.01.T01,cds
miR1507c-Known-3p-mature,MsG0780037349.01.T01,cds
miR1507c-Known-3p-mature,MsG0780037908.01.T01,cds
miR1507c-Known-3p-mature,MsG0780041100.01.T01,cds
miR1507c-Known-3p-mature,MsG0780041100.01.T02,cds
miR1507c-Known-3p-mature,MsG0780041100.01.T03,cds
miR1507c-Known-3p-mature,MsG0780041237.01.T01,cds
miR1507c-Known-3p-mature,MsG0780041718.01.T01,cds
miR1507c-Known-3p-mature,MsG0880043496.01.T01,cds
miR1507c-Known-3p-mature,MsG0880047722.01.T01,cds
miR1507c-Known-3p-mature,MsG0880047751.01.T01,cds
miR1507c-Known-5p-star,MsG0180002376.01.T01,cds
miR1507c-Known-5p-star,MsG0180002376.01.T04,cds
miR1507c-Known-5p-star,MsG0180002376.01.T05,cds
miR1507c-Known-5p-star,MsG0180002594.01.T01,cds
miR1507c-Known-5p-star,MsG0180002594.01.T02,cds
miR1507d-Known-3p-mature,MsG0180003641.01.T01,cds
miR1507d-Known-3p-mature,MsG0180005387.01.T01,cds
miR1507d-Known-3p-mature,MsG0180005387.01.T02,cds
miR1507d-Known-3p-mature,MsG0180005387.01.T03,cds
miR1507d-Known-3p-mature,MsG0380012546.01.T01,cds
miR1507d-Known-3p-mature,MsG0380013427.01.T01,cds
miR1507d-Known-3p-mature,MsG0380016597.01.T01,cds
miR1507d-Known-3p-mature,MsG0380016642.01.T01,cds
miR1507d-Known-3p-mature,MsG0480023929.01.T01,cds
miR1507d-Known-3p-mature,MsG0680030815.01.T01,cds
miR1507d-Known-3p-mature,MsG0680030903.01.T01,cds
miR1507d-Known-3p-mature,MsG0780036249.01.T01,cds
miR1507d-Known-3p-mature,MsG0780036726.01.T01,cds
